date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,obos_main,Dealer_Hedging,Dealer_self,Foreign_Investor,Investment_Trust
2021-07-01,1477,2255867,612986938,275.0,278.5,267.0,269.5,-4.5,2139,2245438.0,6000.0,-6000.0,439840.0,212000.0
2021-07-02,1477,1954323,525104168,272.0,275.0,265.0,266.0,-3.5,1603,1797955.0,14000.0,49900.0,76099.0,7000.0
2021-07-05,1477,3329024,869293586,263.5,266.0,255.0,264.5,-1.5,3104,2858027.0,33000.0,-38389.0,-1194211.0,588000.0
2021-07-06,1477,1713254,444361571,264.5,265.5,257.0,257.0,-7.5,1864,1431597.0,13000.0,-57641.0,-592028.0,-39000.0
2021-07-07,1477,3213908,809579831,255.0,256.5,248.0,254.5,-2.5,2875,2864418.0,1000.0,-126585.0,92067.0,-734000.0
2021-07-08,1477,3015757,750215661,254.5,254.5,246.0,250.0,-4.5,2806,3009327.0,-12000.0,-154110.0,478474.0,-701302.0
2021-07-09,1477,1685535,415339058,247.0,250.5,245.0,247.0,-3.0,1617,2004683.0,18000.0,-82176.0,529501.0,-570000.0
2021-07-12,1477,1148497,282354777,248.5,250.5,244.0,245.5,-1.5,1165,1283505.0,-7000.0,1514.0,-323698.0,-65000.0
2021-07-13,1477,2083944,502771102,246.5,246.5,239.0,241.0,-4.5,2011,2043830.0,-20000.0,-46136.0,-559555.0,-448000.0
2021-07-14,1477,1362032,326663338,240.0,244.0,236.0,242.0,1.0,1190,1378797.0,6000.0,-88010.0,-389466.0,-9000.0
2021-07-15,1477,1405459,345300019,245.5,247.0,244.0,245.5,3.5,1275,1722893.0,32000.0,34106.0,-709362.0,-94000.0
2021-07-16,1477,1444928,353933761,244.0,247.0,242.5,247.0,1.5,1266,1813122.0,3000.0,-2542.0,-90899.0,-256890.0
2021-07-19,1477,1892678,456545047,245.0,245.0,238.5,243.0,-4.0,1526,1892908.0,-20000.0,-6792.0,-467371.0,-142000.0
2021-07-20,1477,2907672,689082906,238.5,240.5,235.0,236.0,-7.0,2116,3044221.0,-12050.0,-140084.0,-46376.0,-760000.0
2021-07-21,1477,2133377,501937749,236.0,238.0,231.5,235.5,-0.5,1932,2262881.0,-56000.0,30909.0,-527329.0,-69000.0
2021-07-22,1477,1757234,415869610,235.0,238.5,232.5,237.0,1.5,1303,2309503.0,23000.0,3000.0,-584386.0,-19000.0
2021-07-23,1477,2125124,500977155,235.0,239.5,233.0,239.5,2.5,1582,2763327.0,-7000.0,9407.0,-196000.0,4000.0
2021-07-26,1477,2569890,601056848,238.0,238.0,232.0,233.0,-6.5,1781,2956626.0,16000.0,-1011.0,-669165.0,45000.0
2021-07-27,1477,2143768,512738464,232.5,244.0,232.5,240.0,7.0,1746,2298663.0,80000.0,16533.0,134386.0,162197.0
2021-07-28,1477,1751507,420934701,238.0,243.0,237.5,239.5,-0.5,1391,1409607.0,-67000.0,29238.0,-698561.0,41000.0
2021-07-29,1477,2096353,496880351,238.5,239.5,234.5,237.5,-2.0,1272,2611961.0,-9000.0,15618.0,-540532.0,-20000.0
2021-07-30,1477,1614468,382032129,237.0,239.0,235.0,237.5,0.0,1241,2296877.0,-12000.0,-351.0,-228390.0,-194000.0
2021-08-02,1477,1669733,390049620,234.5,237.0,229.5,236.5,-1.0,1483,1572480.0,-7000.0,-6000.0,245646.0,-293000.0
2021-08-03,1477,1963439,460646835,236.5,238.0,232.5,234.0,-2.5,1755,2143618.0,-3000.0,11672.0,-249541.0,-207000.0
2021-08-04,1477,6204655,1532059761,237.0,253.5,235.0,250.0,16.0,4577,4850011.0,82000.0,112490.0,654879.0,652000.0
2021-08-05,1477,2103951,521089388,243.0,251.0,243.0,248.5,-1.5,1788,2287403.0,-25000.0,-499.0,-757306.0,0.0
2021-08-06,1477,1609157,392133792,248.5,248.5,241.0,246.0,-2.5,1500,1428345.0,20000.0,-34357.0,34806.0,-337000.0
2021-08-09,1477,960281,231152115,243.5,245.0,239.0,240.0,-6.0,835,1135341.0,-13000.0,-1513.0,-362066.0,31000.0
2021-08-10,1477,1254389,294413763,239.0,239.0,232.0,235.0,-5.0,1094,1339244.0,-7000.0,100.0,-448720.0,-100000.0
2021-08-11,1477,981757,230213467,235.0,237.0,230.5,234.0,-1.0,881,1236775.0,-6000.0,77380.0,-176515.0,1000.0
2021-08-12,1477,1135233,266282696,233.0,237.5,230.5,236.0,2.0,937,1714171.0,2000.0,5900.0,-476851.0,-31000.0
2021-08-13,1477,2002130,458145000,234.0,234.0,223.5,228.5,-7.5,1789,1726372.0,-22000.0,-7089.0,-510093.0,44000.0
2021-08-16,1477,2259374,496479383,228.5,228.5,217.0,219.0,-9.5,1772,2331766.0,-64000.0,-25892.0,687032.0,-95125.0
2021-08-17,1477,1707909,381304073,218.0,226.0,217.5,221.5,2.5,1452,2104738.0,-14000.0,-1700.0,178968.0,173000.0
2021-08-18,1477,2256217,501737094,220.0,226.0,215.5,226.0,4.5,1900,3005997.0,0.0,5663.0,-462664.0,2000.0
2021-08-19,1477,2296826,497501604,222.5,222.5,213.5,216.0,-10.0,1935,2760046.0,-4000.0,33527.0,354477.0,1000.0
2021-08-20,1477,1222529,268727682,218.0,222.0,217.0,219.0,3.0,1049,1430558.0,2000.0,44118.0,212025.0,-26000.0
2021-08-23,1477,976374,219958657,220.5,228.0,220.5,225.0,6.0,826,1222652.0,5000.0,-19970.0,-380282.0,111000.0
2021-08-24,1477,1118410,256156890,227.0,231.0,224.5,229.5,4.5,910,1320957.0,-2000.0,-11032.0,18258.0,145000.0
2021-08-25,1477,1093140,251947730,229.5,232.0,227.0,231.5,2.0,939,1293332.0,-4000.0,48000.0,-527317.0,290000.0
2021-08-26,1477,662566,154734601,231.5,235.5,230.0,233.0,1.5,585,823413.0,2000.0,0.0,-115535.0,0.0
2021-08-27,1477,702885,164911581,235.0,236.0,230.5,236.0,3.0,556,930984.0,10000.0,11000.0,-82782.0,0.0
2021-08-30,1477,794337,186754506,236.0,237.0,232.5,236.0,0.0,678,976101.0,-12000.0,19981.0,-439310.0,0.0
2021-08-31,1477,814190,192456259,236.0,239.0,233.0,238.5,2.5,633,1166359.0,6000.0,5000.0,-22871.0,0.0
2021-09-01,1477,720349,170891446,238.0,238.5,236.0,236.5,-2.0,692,1021728.0,-8000.0,12507.0,-499449.0,27000.0
